"Story","Title","Result","Date","Stability","Duration (s)"
"Create an auth token","Successfully create an auth token","SUCCESS","2023-01-17T16:17:17.80694-03:00[America/Argentina/Mendoza]","0.0","6.33"
"Create a new booking","Successfully create a new booking","SUCCESS","2023-01-17T16:17:25.280849-03:00[America/Argentina/Mendoza]","0.0","1.07"
"Delete a booking","Successfully delete a booking","SUCCESS","2023-01-17T16:17:29.42491-03:00[America/Argentina/Mendoza]","0.0","0.97"
"GetBookingIds","Successfully retrieve all booking IDs","SUCCESS","2023-01-17T16:17:33.52946-03:00[America/Argentina/Mendoza]","0.0","1.67"
"GetBookingIds","Successfully retrieve filtered booking IDs by Last name","SUCCESS","2023-01-17T16:17:35.20669-03:00[America/Argentina/Mendoza]","0.0","1.48"
"GetBookingIds","Successfully retrieve filtered booking IDs by First name","SUCCESS","2023-01-17T16:17:36.689695-03:00[America/Argentina/Mendoza]","0.0","1.26"
"GetBookingIds","Successfully retrieve filtered booking IDs by First and Last name","SUCCESS","2023-01-17T16:17:37.9591-03:00[America/Argentina/Mendoza]","0.0","1.21"
"GetBookingIds","Successfully retrieve filtered booking IDs by Checkin date","SUCCESS","2023-01-17T16:17:39.170862-03:00[America/Argentina/Mendoza]","0.0","0.93"
"GetBookingIds","Successfully retrieve filtered booking IDs by Checkout date","SUCCESS","2023-01-17T16:17:40.106916-03:00[America/Argentina/Mendoza]","0.0","1.37"
"GetBookingById","Invalid booking id","SUCCESS","2023-01-17T16:17:42.525915-03:00[America/Argentina/Mendoza]","0.0","0.88"
"GetBookingById","Empty search","SUCCESS","2023-01-17T16:17:43.413236-03:00[America/Argentina/Mendoza]","0.0","0.85"
"Update a current booking with a partial payload","Successfully update a current booking with a partial payload in XML format","SUCCESS","2023-01-17T16:17:48.146643-03:00[America/Argentina/Mendoza]","0.0","0.86"
"Health check","Successfully perform a health check","SUCCESS","2023-01-17T16:17:56.471123-03:00[America/Argentina/Mendoza]","0.0","1.0"
